"","year","month","fips_code","n"
"915",2017,"March",12031,7
"916",2017,"March",12043,2
"917",2017,"March",12073,15
"918",2017,"March",12085,3
"919",2017,"March",12086,5
"920",2017,"March",12095,4
"921",2017,"March",12099,12
"922",2017,"March",12103,3
"923",2017,"March",12105,2
"924",2017,"March",12127,2
"925",2017,"March",13059,3
"926",2017,"March",13095,2
"927",2017,"March",13121,3
"928",2017,"March",13127,2
"929",2017,"March",13135,2
"930",2017,"March",13185,2
"931",2017,"March",15001,10
"932",2017,"March",15003,3
"933",2017,"March",16001,3
"934",2017,"March",16031,2
"935",2017,"March",17019,2
"936",2017,"March",17031,42
"937",2017,"March",17111,5
"938",2017,"March",17113,5
"939",2017,"March",17115,2
"940",2017,"March",17167,3
"941",2017,"March",17201,3
"942",2017,"March",18003,8
"943",2017,"March",18019,2
"944",2017,"March",18097,6
"945",2017,"March",18105,4
"946",2017,"March",18141,2
"947",2017,"March",18157,4
"948",2017,"March",18167,2
"949",2017,"March",19013,2
"950",2017,"March",19061,2
"951",2017,"March",19103,14
"952",2017,"March",19153,6
"953",2017,"March",19155,2
"954",2017,"March",19163,3
"955",2017,"March",19179,2
"956",2017,"March",20045,3
"957",2017,"March",20091,3
"958",2017,"March",20169,2
"959",2017,"March",20173,2
"960",2017,"March",20177,3
"961",2017,"March",21067,4
"962",2017,"March",21073,2
"963",2017,"March",21111,16
"964",2017,"March",22033,3
"965",2017,"March",22051,4
"966",2017,"March",22071,5
"967",2017,"March",22073,2
"968",2017,"March",23005,5
"969",2017,"March",23007,10
"970",2017,"March",23011,7
"971",2017,"March",23019,2
"972",2017,"March",24003,6
"973",2017,"March",24031,6
"974",2017,"March",24045,2
"975",2017,"March",24047,4
"976",2017,"March",24510,15
"977",2017,"March",25001,8
"978",2017,"March",25003,3
"979",2017,"March",25011,9
"980",2017,"March",25013,8
"981",2017,"March",25015,12
"982",2017,"March",25017,5
"983",2017,"March",25025,28
"984",2017,"March",25027,2
"985",2017,"March",26049,3
"986",2017,"March",26065,9
"987",2017,"March",26075,3
"988",2017,"March",26077,5
"989",2017,"March",26081,8
"990",2017,"March",26099,3
"991",2017,"March",26161,11
"992",2017,"March",26163,11
"993",2017,"March",27013,8
